id,x,y,plot,species,height_cm,elevation,slope,twi,distance_m,mpb_class,fire_class
159,524237.46,5446912.43,3,Pinus_contorta,11,1272,23.7,7.36,114.7,0,3
160,524239.05,5446913.7,3,Pinus_contorta,6,1272,23.7,7.36,117.0,0,3
161,524164.65,5446968.78,3,Pinus_contorta,16,1284,22.3,5.35,23.4,0,2
162,524267.57,5446904.75,3,Pinus_contorta,7,1250,21.0,5.84,27.2,0,2
163,524259.24,5446909.83,3,Pinus_contorta,12,1260,22.3,5.22,131.8,0,3
164,524257.39,5446918.56,3,Pinus_contorta,19,1253,26.0,6.78,136.3,0,3
165,524259.16,5446904.38,3,Pinus_contorta,28,1260,22.3,5.22,70.9,0,2
166,524168.49,5446974.23,3,Pinus_contorta,14,1284,22.3,5.35,25.0,0,2
167,524252.17,5446903.27,3,Pinus_contorta,11,1260,22.3,5.22,67.2,0,2
168,524167.61,5446964.6,3,Pinus_contorta,13,1284,22.3,5.35,41.5,0,3
169,524236.22,5446919.15,3,Pinus_contorta,9,1264,25.7,6.07,119.3,0,3
170,524165.39,5446958.68,3,Pinus_contorta,17,1284,22.3,5.35,39.1,0,3
171,524312.5,5446894.38,3,Pinus_contorta,21,1230,21.0,5.85,63.9,0,4
172,524252.17,5446903.27,3,Pinus_contorta,10,1260,22.3,5.22,67.2,0,2
173,524241.46,5446919.62,3,Pinus_contorta,9,1264,25.7,6.07,123.8,0,3
174,524167.06,5446974.71,3,Pinus_contorta,13,1284,22.3,5.35,24.7,0,2
175,524235.9,5446909.89,3,Pinus_contorta,15,1272,23.7,7.36,111.3,0,3
176,524235.9,5446909.89,3,Pinus_contorta,15,1272,23.7,7.36,111.3,0,3
177,524234.29,5446901.5,3,Pinus_contorta,27,1272,23.7,7.36,57.7,0,2
178,524164.65,5446955.47,3,Pinus_contorta,19,1284,22.3,5.35,37.9,0,3
179,524250.01,5446900.55,3,Pinus_contorta,14,1260,22.3,5.22,65.3,0,2
180,524200.61,5446942.3,3,Pinus_contorta,16,1281,23.5,4.72,64.6,0,2
181,524166.66,5446957.41,3,Pinus_contorta,27,1284,22.3,5.35,39.1,0,3
182,524245.98,5446906.61,3,Pinus_contorta,10,1260,22.3,5.22,118.1,0,3
183,524240.11,5446905.97,3,Pinus_contorta,16,1272,23.7,7.36,112.5,0,3
184,524195.02,5446960.32,3,Pinus_contorta,16,1273,23.5,5.41,71.5,0,2
185,524249.63,5446905.81,3,Pinus_contorta,16,1260,22.3,5.22,120.4,0,3
186,524255.03,5446903.27,3,Pinus_contorta,16,1260,22.3,5.22,68.4,0,2
187,524251.22,5446907.08,3,Pinus_contorta,10,1260,22.3,5.22,122.7,0,3
188,524265.51,5446903.32,3,Pinus_contorta,10,1250,21.0,5.84,26.5,0,2
189,524249.79,5446902.8,3,Pinus_contorta,25,1260,22.3,5.22,65.9,0,2
190,524255.03,5446903.27,3,Pinus_contorta,25,1260,22.3,5.22,68.4,0,2
191,524245.98,5446906.61,3,Pinus_contorta,15,1260,22.3,5.22,118.1,0,3
192,524240.11,5446905.97,3,Pinus_contorta,10,1272,23.7,7.36,112.5,0,3
193,524241.7,5446907.24,3,Pinus_contorta,20,1272,23.7,7.36,114.7,0,3
194,524255.51,5446906.45,3,Pinus_contorta,20,1260,22.3,5.22,126.1,0,3
195,524249.63,5446905.81,3,Pinus_contorta,20,1260,22.3,5.22,120.4,0,3
196,524254.08,5446906.92,3,Pinus_contorta,20,1260,22.3,5.22,126.1,0,3
197,524237.81,5446905.97,3,Pinus_contorta,20,1272,23.7,7.36,110.2,0,3
