"qx","qy","x","y","stems","ba_ha","h_mean","h_max","h_p95","h_sd","cover"
100,220,747679.782821681,4309064.78621507,9,20.7192944242768,19.3655639097744,32.58,31.991,12.1433939118681,0.75187969924812
120,220,747699.805756303,4309065.41387668,16,42.6569770194321,21.075375,35.02,33.8505,12.7702840903696,0.75
140,220,747719.828690925,4309066.0415383,14,14.866723295134,16.022775,33.6,32.23,13.614252392986,0.625
160,220,747739.851625548,4309066.66919991,13,27.8012492985857,23.3596240601504,38.6,37.801,15.6066968652641,0.719298245614035
180,220,747759.87456017,4309067.29686152,19,36.2348351421934,18.2961152882205,38.24,36.2,12.7289015973933,0.75187969924812
200,220,747779.897494793,4309067.92452313,20,47.9606530071305,16.3974,36.2,33.543,12.0380697809128,0.7425
220,220,747799.920429415,4309068.55218475,13,22.0240174882667,15.5392230576441,32.86,31.04,12.15186958124,0.734335839598998
240,220,747819.943364037,4309069.17984636,10,38.1885523435527,20.13325,38.89,37.531,14.981201786068,0.7325
260,220,747839.966298659,4309069.80750797,12,45.8585348227973,15.4557142857143,39.6,32.07,12.5502720116499,0.659147869674185
280,220,747859.989233282,4309070.43516958,16,67.4038914003814,20.536432160804,35.28,32.505,10.6380753043267,0.846733668341708
300,220,747880.012167904,4309071.0628312,15,53.2299874601344,14.85705,34.23,27.9685,9.87784700484513,0.8625
320,220,747900.035102526,4309071.69049281,12,49.9407792217341,25.5328140703518,39.66,38.3,13.6240406727408,0.826633165829146
340,220,747920.058037149,4309072.31815442,8,12.1188703758094,25.3419047619048,37.04,34.773,10.8181411420725,0.892230576441103
360,220,747940.080971771,4309072.94581603,17,36.4617366715989,21.422525,38.04,36.5035,14.7151232923189,0.7125
380,220,747960.103906394,4309073.57347765,11,39.3023451140207,22.3478696741855,37.46,35.425,13.9177865927476,0.734335839598998
0,240,747579.043203142,4309081.58995522,13,44.1843015578829,29.7771679197995,39.55,38.749,11.4296108758452,0.884711779448622
20,240,747599.066137764,4309082.21761684,18,31.0100327650541,25.5163567839196,39.2,37.4715,14.6730919972252,0.778894472361809
40,240,747619.089072386,4309082.84527845,17,55.7095090969343,27.657475,39.55,38.067,13.0983854014412,0.835
60,240,747639.112007009,4309083.47294006,11,33.9089962910164,27.9771105527638,36.62,36.086,11.1212258508689,0.884422110552764
80,240,747659.134941631,4309084.10060167,16,41.7535138771219,20.798125,34.36,33.1615,12.1845304254451,0.8225
100,240,747679.157876253,4309084.72826329,11,34.4083524433045,22.4073684210526,34.27,33.191,11.7317131874963,0.81203007518797
120,240,747699.180810876,4309085.3559249,16,37.8998988835501,19.1302506265664,34.87,33.001,12.886270553626,0.726817042606516
140,240,747719.203745498,4309085.98358651,20,30.0976357186353,15.5855610972569,34.74,33.19,14.3475044431735,0.571072319201995
160,240,747739.22668012,4309086.61124813,17,42.1321543316958,14.082525,39.2,37.1705,14.4068522882869,0.53
180,240,747759.249614743,4309087.23890974,14,37.7344940303386,22.9865413533835,38.65,36.923,12.681772186751,0.822055137844611
200,240,747779.272549365,4309087.86657135,15,37.044305759299,7.61044887780549,33.85,28.82,9.75579854742834,0.516209476309227
220,240,747799.295483988,4309088.49423296,16,52.8498743840042,10.9237,29.04,25.1675,10.3589579753873,0.62
240,240,747819.31841861,4309089.12189457,17,52.0799092945175,22.2447132169576,40.43,38.28,13.8730515381458,0.830423940149626
260,240,747839.341353232,4309089.74955619,8,39.3781360367886,27.2663408521303,41.44,40.133,13.1990608255852,0.854636591478697
280,240,747859.364287855,4309090.3772178,10,42.2486092443736,14.471725,32.97,27.31,11.2942563429482,0.655
300,240,747879.387222477,4309091.00487941,10,29.5825716030793,26.0938154613466,36.7,34.02,9.4373842856938,0.917705735660848
